ticker,name,close,Perf.YTD,Perf.3M,Perf.Y,Value.Traded,sector,extraction_day
NYSE:PH,PH,772.0,20.60615528823621,5.542339977579084,22.55913637085252,395207644.0,Producer Manufacturing,2025-10-26
NASDAQ:DUOT,DUOT,9.48,47.20496894409938,17.18170580964154,124.11347517730495,4832904.0,Technology Services,2025-10-26
NASDAQ:LILAK,LILAK,8.72,37.106918238993714,27.485380116959078,-8.403361344537803,4312659.12,Communications,2025-10-26
OTC:IAALF,IAALF,0.1615,169.16666666666669,284.52380952380946,369.47674418604646,79733.196,Non-Energy Minerals,2025-10-26
OTC:LQMT,LQMT,0.1439,242.6190476190476,-3.9385847797062676,219.7777777777778,69829.9213,Non-Energy Minerals,2025-10-26
OTC:CBGZF,CBGZF,0.4185,161.88986232790987,45.413481584433626,74.375,200104.938,Non-Energy Minerals,2025-10-26
NYSE:HTH,HTH,33.89,17.185338865836787,9.21688688366097,10.860320575727838,16191354.18,Finance,2025-10-26
NASDAQ:DAVE,DAVE,248.67,181.81097008159566,19.231875719217484,508.88834476003916,118795627.08,Finance,2025-10-26
NYSE:UVE,UVE,32.05,52.32889733840303,25.342197888150164,62.60781329274477,15118561.899999999,Finance,2025-10-26
OTC:USCUF,USCUF,0.087,234.6153846153846,7.540173053152032,278.26086956521743,40896.176999999996,Non-Energy Minerals,2025-10-26
NYSE:EFXT,EFXT,12.46,24.72472472472473,51.951219512195145,95.91194968553458,5800740.54,Producer Manufacturing,2025-10-26
OTC:SCYYF,SCYYF,0.097,860.3960396039605,368.59903381642516,1068.6746987951808,45046.024000000005,Non-Energy Minerals,2025-10-26
NASDAQ:SWIM,SWIM,7.98,14.65517241379311,14.163090128755368,20.18072289156628,3699041.22,Producer Manufacturing,2025-10-26
NYSE:LEA,LEA,101.91,7.273684210526312,0.04908698213233571,-4.039548022598876,46127013.75,Producer Manufacturing,2025-10-26
OTC:BHPLF,BHPLF,27.5,23.318385650224208,10.0,-6.697428241840267,12110725.0,Non-Energy Minerals,2025-10-26
OTC:EVSP,EVSP,0.0001,9900.000000000002,9900.000000000002,9900.000000000002,43.0454,Producer Manufacturing,2025-10-26
NASDAQ:OPRX,OPRX,21.68,341.5478615071283,55.412186379928315,277.04347826086956,9136732.48,Technology Services,2025-10-26
NASDAQ:BLZE,BLZE,10.44,71.71052631578947,91.55963302752292,42.62295081967212,4346485.2,Electronic Technology,2025-10-26
OTC:HNHPF,HNHPF,15.96,43.1390134529148,40.616740088105736,21.36882129277567,6570955.44,Electronic Technology,2025-10-26
NYSE:HMN,HMN,44.94,14.060913705583754,8.054820870401525,20.806451612903214,17988088.86,Finance,2025-10-26
NASDAQ:BEAG,BEAG,10.85,9.929078014184402,3.4318398474737792,10.040567951318462,4276744.5,Finance,2025-10-26
OTC:MHUBF,MHUBF,0.7,252.28988424760945,157.2583608967291,202.31051608723814,268783.89999999997,Technology Services,2025-10-26
NYSE:HLI,HLI,199.04,14.47633289239086,0.5252525252525212,18.95057670471522,75690931.2,Finance,2025-10-26
OTC:SSGC,SSGC,0.35,143.22446143154968,-60.66531804899978,133.17788141239168,133054.6,Technology Services,2025-10-26
NASDAQ:HTFL,HTFL,37.87,35.24999999999999,35.24999999999999,35.24999999999999,14304975.93,Technology Services,2025-10-26
NYSE:TWI,TWI,7.97,15.843023255813952,-18.67346938775511,10.082872928176789,3010348.6999999997,Producer Manufacturing,2025-10-26
NASDAQ:POWW,POWW,1.63,42.982456140350884,27.34374999999999,45.53571428571426,582573.4099999999,Electronic Technology,2025-10-26
NYSE:PHIN,PHIN,54.7,12.85331132659378,8.617950754567124,20.14056665934549,19208889.6,Producer Manufacturing,2025-10-26
OTC:FJTSY,FJTSY,25.31,52.37808549066827,14.6286231884058,29.132653061224477,8876596.65,Technology Services,2025-10-26
NYSE:CACI,CACI,585.55,42.31722729924168,21.81954355378949,8.2347504621072,202507783.1,Technology Services,2025-10-26
NASDAQ:PAX,PAX,14.73,26.65520206362854,8.78877400295422,30.758988015978694,5082586.5,Finance,2025-10-26
NYSE:VTMX,VTMX,28.77,11.51162790697674,13.805379746835436,11.425251742835009,9515361.03,Finance,2025-10-26
NASDAQ:NVMI,NVMI,345.06,71.7741935483871,32.894280762565,86.92307692307692,112618267.38,Electronic Technology,2025-10-26
OTC:PEMSF,PEMSF,0.0455,130.96446700507616,255.46875,47.368421052631575,14839.824999999999,Non-Energy Minerals,2025-10-26
OTC:PILBF,PILBF,2.11,59.84848484848484,68.2615629984051,17.87709497206703,679778.7,Non-Energy Minerals,2025-10-26
NASDAQ:IBOC,IBOC,68.35,7.33354271356783,-0.37895350531993166,9.202748042818326,21728943.45,Finance,2025-10-26
NASDAQ:LECO,LECO,241.81,28.25395141614512,7.471111111111112,24.483912483912484,76190220.23,Producer Manufacturing,2025-10-26
NASDAQ:CHAC,CHAC,11.0,10.0,9.561752988047818,0.0,3446663.0,Finance,2025-10-26
OTC:RDGMF,RDGMF,0.23,138.96103896103895,76.92307692307692,48.38709677419355,71560.36,Non-Energy Minerals,2025-10-26
NASDAQ:POWL,POWL,364.99,62.217777777777776,50.010274957872674,42.81969009234622,113437067.05,Producer Manufacturing,2025-10-26
NASDAQ:FISI,FISI,28.95,6.121700879765389,9.992401215805467,12.20930232558139,8895148.049999999,Finance,2025-10-26
NYSE:HG,HG,24.76,30.042016806722703,16.51764705882354,39.17931422147275,7475588.720000001,Finance,2025-10-26
NASDAQ:ACT,ACT,36.67,12.761377613776133,4.681701398801029,2.7746636771300506,10862754.1,Finance,2025-10-26
OTC:SMOFF,SMOFF,0.152,153.33333333333331,11.764705882352931,153.33333333333331,44370.623999999996,Non-Energy Minerals,2025-10-26
OTC:GLDFF,GLDFF,0.0468,95.00000000000001,45.251396648044704,-3.3057851239669365,13548.7404,Non-Energy Minerals,2025-10-26
OTC:CATPF,CATPF,0.1,100.0,34.408602150537654,117.3913043478261,28520.0,Non-Energy Minerals,2025-10-26
NYSE:PKST,PKST,14.27,27.297056199821576,3.7063953488372077,6.333830104321906,4060828.17,Finance,2025-10-26
NYSE:CR,CR,191.76,26.04180360194558,1.09658371994938,26.324110671936744,54466551.599999994,Electronic Technology,2025-10-26
NASDAQ:WETH,WETH,2.19,25.86206896551724,140.65934065934064,20.994475138121537,615578.34,Electronic Technology,2025-10-26
NASDAQ:TREE,TREE,62.86,59.21985815602839,25.569316819816216,17.539267015706812,17127338.48,Finance,2025-10-26
NYSE:BSAC,BSAC,28.3,51.01387406616864,19.308600337268135,36.714975845410635,7569882.100000001,Finance,2025-10-26
NYSE:STC,STC,74.71,10.615931299970368,14.078485264925943,6.046841731724614,19668079.889999997,Finance,2025-10-26
NYSE:MTW,MTW,11.46,24.56521739130437,-13.509433962264145,18.87966804979253,3010415.9400000004,Producer Manufacturing,2025-10-26
OTC:SMFNF,SMFNF,26.7625,14.159877148829066,-0.6957328385899815,34.89163306451613,6918400.6375,Finance,2025-10-26
NYSE:RYI,RYI,23.43,24.760383386581463,4.504906333630678,11.465271170313986,5987981.67,Non-Energy Minerals,2025-10-26
