ticker,logoid,name,postmarket_close,postmarket_change_abs,postmarket_change,postmarket_volume,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
NASDAQ:WLGS,wang-and-lee-group,WLGS,0.042,0.0022000000000000006,5.527638190954775,999962,0.0398,4.7368421052631655,52921989,1263764.8628,,"Wang & Lee Group, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
NYSE:OWL,blue-owl,OWL,19.6,0.030000000000001137,0.1532958610117585,984920,19.57,0.8762886597938233,3902175,30173666971.0,13.740462545385565,Blue Owl Capital Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:AUR,aurora-innovation,AUR,5.32,0.020000000000000462,0.3773584905660465,969505,5.3,2.5145067698259167,11175563,9375037157.0,155.2327356478219,"Aurora Innovation, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:CVS,cvs-health,CVS,67.2509,-0.17910000000000537,-0.26560877947501904,968363,67.43,1.2462462462462651,3770987,85300259147.00002,9.30671135736854,CVS Health Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:SONN,sonnet-biotherapeutics,SONN,4.48,0.5600000000000005,14.285714285714299,966081,3.92,-5.5421686746988055,6198760,12409976.000000002,23.512295940564293,"Sonnet BioTherapeutics Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:MRVL,marvell-tech,MRVL,75.25,0.06999999999999318,0.0931098696461734,965487,75.18,1.2525252525252617,10217934,64820197181.0,1.8518084472683332,"Marvell Technology, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:SOUN,soundhound-ai,SOUN,11.07,-0.019999999999999574,-0.1803426510369664,961993,11.09,-1.4222222222222236,24813293,4455234026.0,191.99176478513604,"SoundHound AI, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:IBKR,interactive-brokers-group,IBKR,57.85,-0.12999999999999545,-0.22421524663676348,945618,57.98,-0.4122294744074236,4499824,25269755261.0,73.82679621503685,"Interactive Brokers Group, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:MARA,marathon-digital-holdings,MARA,17.73,0.07000000000000028,0.396375990939979,940927,17.66,-0.7865168539325874,32142502,6215044274.0,-7.229656326115765,"MARA Holdings, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:EXC,exelon,EXC,43.5,0.36999999999999744,0.8578715511245014,938046,43.13,0.489282385834112,3602321,43541276059.00001,23.6490500239961,Exelon Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:RIOT,riot-blockchain,RIOT,12.18,0.009999999999999787,0.08216926869350688,932240,12.17,-0.24590163934425707,27628742,4347900028.0,23.84228447067362,"Riot Platforms, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:VLY,valley-national-bancorp,VLY,9.66,0.0,0.0,931233,9.66,3.426124197002144,11934145,5412895776.0,45.001354464961814,Valley National Bancorp,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
